date,equity,open_positions
2017-04-10,5958525.91021966,100
2017-04-11,5963641.540936181,100
2017-04-12,5958644.506838987,100
2017-04-13,5958088.467341674,100
2017-04-17,5962152.756811869,100
2017-04-18,5958424.516696704,100
2017-04-19,5963453.193249584,100
2017-04-20,5974349.152440113,100
2017-04-21,5975034.009727997,100
2017-04-24,5982505.757596549,100
2017-04-25,5990094.243634757,100
2017-04-26,5981689.13869751,100
2017-04-27,5986987.522518952,100
2017-04-28,5988670.520531018,100
2017-05-02,5995208.482855549,100
2017-05-03,5992969.034906122,100
2017-05-04,6001296.10976288,100
2017-05-05,5995104.517019006,100
2017-05-08,6001855.359384748,100
2017-05-09,6007435.993354663,100
2017-05-10,6020770.648197517,100
2017-05-11,6016752.752858028,100
2017-05-12,6011100.16960089,99
2017-05-15,6024229.4083205145,100
2017-05-16,6028053.237547745,99
2017-05-17,6027427.36822423,99
2017-05-18,6005534.514430551,94
2017-05-19,6001349.867872628,88
2017-05-22,5990097.073134293,83
2017-05-23,5969677.02638122,74
2017-05-24,5958778.546680704,64
2017-05-25,5971933.8660455765,67
2017-05-26,5981117.137186618,70
2017-05-29,5972938.206483181,72
2017-05-30,5976884.377853434,73
2017-05-31,5982638.018483948,80
2017-06-01,5988458.8817094145,83
2017-06-02,5993373.012518024,91
2017-06-05,5999070.648139098,97
2017-06-06,5994114.322803024,98
2017-06-07,6000638.7270961525,99
2017-06-08,6001678.2550102,99
2017-06-09,6008819.14679055,100
2017-06-12,6000012.911339805,100
2017-06-13,6000765.8903875435,100
2017-06-14,6004098.34245015,100
2017-06-15,6003251.907690596,100
2017-06-16,6004055.257366728,100
2017-06-19,6008211.9713540785,100
2017-06-20,6008041.580902299,100
2017-06-21,6007820.992975451,100
2017-06-22,6001519.49260902,100
2017-06-23,5987368.833170244,93
2017-06-27,5974091.850952901,84
2017-06-28,5974452.598014054,83
2017-06-29,5981613.4286889285,83
2017-06-30,5987831.163907203,85
2017-07-03,5997741.335059651,89
2017-07-04,5995102.172633952,90
2017-07-05,6001951.7273149565,95
2017-07-06,6005402.633962525,97
2017-07-07,6004574.468113293,100
2017-07-10,6011195.0112785,100
2017-07-11,6006428.503003521,100
2017-07-12,6012373.171157284,100
2017-07-13,6016234.632581158,100
2017-07-14,6010711.758397026,100
2017-07-17,6011490.967505814,100
2017-07-18,6001735.204234212,96
2017-07-19,6016625.039765094,100
2017-07-20,6020108.476733898,100
2017-07-21,6026559.866477703,100
2017-07-24,6030560.955246662,100
2017-07-25,6036422.450338175,100
2017-07-26,6043220.030089189,100
2017-07-27,6034295.297768118,100
2017-07-28,6034774.669273778,100
2017-07-31,6042218.974017565,100
2017-08-01,6045155.991292422,100
2017-08-02,6045518.17033676,100
2017-08-03,6032209.7051944425,100
2017-08-04,6041897.099673177,100
2017-08-07,6056834.655964786,100
2017-08-08,6043829.924277561,100
2017-08-09,6022038.021997019,91
2017-08-10,5986352.627188555,73
2017-08-11,5982702.5737774605,70
2017-08-14,5999663.657594327,73
2017-08-16,6009891.580876865,79
2017-08-17,6017451.455742126,81
2017-08-18,6018093.85949179,80
2017-08-21,6013144.5973309735,78
2017-08-22,6012385.830347961,77
2017-08-23,6017888.585751461,78
2017-08-24,6026930.471459021,80
2017-08-28,6040346.417645449,86
2017-08-29,6029124.935661274,84
2017-08-30,6048978.530690512,86
2017-08-31,6059645.393260501,90
2017-09-01,6073034.797049411,95
2017-09-04,6067890.50434309,98
2017-09-05,6080854.339546421,99
2017-09-06,6089097.63992633,100
2017-09-07,6099735.662019492,100
2017-09-08,6100722.102882148,100
2017-09-11,6113964.392118693,100
2017-09-12,6122581.510701419,100
2017-09-13,6111529.131471901,100
2017-09-14,6119739.248592962,100
2017-09-15,6131628.841390718,100
2017-09-18,6148489.787119973,100
2017-09-19,6154879.954990972,100
2017-09-20,6150165.594740022,100
2017-09-21,6145138.33611719,100
2017-09-22,6104889.5329163335,95
2017-09-25,6085638.616094153,86
2017-09-26,6100345.828839298,86
2017-09-27,6080599.291266064,83
2017-09-28,6087861.496641211,80
2017-09-29,6099258.356412359,81
2017-10-03,6111221.716337055,84
2017-10-04,6126174.230326236,84
2017-10-05,6141296.231844517,86
2017-10-06,6155971.747458071,90
2017-10-09,6160182.848376518,96
2017-10-10,6176352.561188975,100
2017-10-11,6158646.923387148,99
2017-10-12,6177675.855002188,100
2017-10-13,6184496.782279753,100
2017-10-16,6190553.40354135,100
2017-10-17,6192465.037000441,100
2017-10-18,6191028.851415573,100
2017-10-19,6183369.116656242,100
2017-10-23,6189855.483058868,100
2017-10-24,6194500.625337539,100
2017-10-25,6191602.946550509,100
2017-10-26,6200412.216017863,100
2017-10-27,6209985.852302691,100
2017-10-30,6230554.310427805,100
2017-10-31,6236655.125338694,100
2017-11-01,6239541.441500327,100
